shortlist_rank,cluster_id,cluster_pair_count,cluster_node_count,review_selection_rule,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,same_original_candidate_component,validation_cdc_component_id,train_cdc_component_id,same_reviewed_41_component,reviewed_41_component_ids,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,relation_bucket,diagnostic_rule,capture_order_claim,selection_basis
17,fpc_0017,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0018,frame,frame_01318,data/images/frame_01318.npy,1318,frame_01317,data/images/frame_01317.npy,1317,1,no,cdc_0140,NA,no,NA,tvcc_0011,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
18,fpc_0018,32,33,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0019,frame,frame_02513,data/images/frame_02513.npy,2513,frame_02514,data/images/frame_02514.npy,2514,1,no,NA,cdc_0123,no,NA,NA,tvcc_0007,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
19,fpc_0019,6,7,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0115,nframe,nframe_01092,data/images/nframe_01092.npy,1092,nframe_01091,data/images/nframe_01091.npy,1091,1,no,NA,cdc_0509,no,NA,NA,tvcc_0015,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
20,fpc_0020,13,14,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0116,nframe,nframe_01103,data/images/nframe_01103.npy,1103,nframe_01104,data/images/nframe_01104.npy,1104,1,no,NA,cdc_0509,no,NA,NA,tvcc_0015,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
21,fpc_0021,7,8,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0118,nframe,nframe_01118,data/images/nframe_01118.npy,1118,nframe_01119,data/images/nframe_01119.npy,1119,1,no,NA,cdc_0509,no,NA,NA,tvcc_0015,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
22,fpc_0022,3,4,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0119,nframe,nframe_01121,data/images/nframe_01121.npy,1121,nframe_01120,data/images/nframe_01120.npy,1120,1,no,cdc_0517,cdc_0509,no,NA,NA,tvcc_0015,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
23,fpc_0023,18,19,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0120,nframe,nframe_01125,data/images/nframe_01125.npy,1125,nframe_01126,data/images/nframe_01126.npy,1126,1,no,cdc_0518,cdc_0509,no,NA,NA,tvcc_0015,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
24,fpc_0024,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0122,nframe,nframe_01206,data/images/nframe_01206.npy,1206,nframe_01207,data/images/nframe_01207.npy,1207,1,no,cdc_0519,cdc_0521,no,NA,tvcc_0017,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
25,fpc_0025,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0123,nframe,nframe_01266,data/images/nframe_01266.npy,1266,nframe_01265,data/images/nframe_01265.npy,1265,1,no,cdc_0531,cdc_0530,no,NA,tvcc_0019,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
26,fpc_0026,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0124,nframe,nframe_01267,data/images/nframe_01267.npy,1267,nframe_01268,data/images/nframe_01268.npy,1268,1,no,cdc_0531,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
27,fpc_0027,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0125,nframe,nframe_02449,data/images/nframe_02449.npy,2449,nframe_02450,data/images/nframe_02450.npy,2450,1,no,cdc_0713,NA,no,NA,tvcc_0022,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
28,fpc_0028,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0126,nframe,nframe_02528,data/images/nframe_02528.npy,2528,nframe_02527,data/images/nframe_02527.npy,2527,1,no,cdc_0514,cdc_0727,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
29,fpc_0029,6,7,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0127,nframe,nframe_02529,data/images/nframe_02529.npy,2529,nframe_02530,data/images/nframe_02530.npy,2530,1,no,cdc_0514,NA,no,NA,tvcc_0016,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
30,fpc_0030,5,6,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0129,nframe,nframe_02540,data/images/nframe_02540.npy,2540,nframe_02541,data/images/nframe_02541.npy,2541,1,no,cdc_0514,cdc_0728,no,NA,tvcc_0016,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
31,fpc_0031,5,6,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0130,nframe,nframe_02550,data/images/nframe_02550.npy,2550,nframe_02549,data/images/nframe_02549.npy,2549,1,no,cdc_0520,cdc_0729,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
32,fpc_0032,4,5,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0131,nframe,nframe_02558,data/images/nframe_02558.npy,2558,nframe_02559,data/images/nframe_02559.npy,2559,1,no,cdc_0520,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
33,fpc_0033,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0132,nframe,nframe_02768,data/images/nframe_02768.npy,2768,nframe_02769,data/images/nframe_02769.npy,2769,1,no,cdc_0762,cdc_0763,no,NA,tvcc_0023,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
34,fpc_0034,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0133,nframe,nframe_03331,data/images/nframe_03331.npy,3331,nframe_03332,data/images/nframe_03332.npy,3332,1,no,cdc_0803,NA,no,NA,tvcc_0024,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
35,fpc_0035,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0134,nframe,nframe_03390,data/images/nframe_03390.npy,3390,nframe_03389,data/images/nframe_03389.npy,3389,1,no,cdc_0803,cdc_0805,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
36,fpc_0036,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0135,nframe,nframe_03393,data/images/nframe_03393.npy,3393,nframe_03394,data/images/nframe_03394.npy,3394,1,no,cdc_0803,cdc_0806,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
37,fpc_0037,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0136,nframe,nframe_03396,data/images/nframe_03396.npy,3396,nframe_03395,data/images/nframe_03395.npy,3395,1,no,cdc_0803,cdc_0806,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
38,fpc_0038,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0137,nframe,nframe_03398,data/images/nframe_03398.npy,3398,nframe_03397,data/images/nframe_03397.npy,3397,1,no,cdc_0803,NA,no,NA,tvcc_0024,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
39,fpc_0039,3,4,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0138,nframe,nframe_03400,data/images/nframe_03400.npy,3400,nframe_03399,data/images/nframe_03399.npy,3399,1,no,cdc_0803,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
40,fpc_0040,3,4,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0139,nframe,nframe_03405,data/images/nframe_03405.npy,3405,nframe_03406,data/images/nframe_03406.npy,3406,1,no,cdc_0803,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
41,fpc_0041,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0140,nframe,nframe_03410,data/images/nframe_03410.npy,3410,nframe_03409,data/images/nframe_03409.npy,3409,1,no,cdc_0803,cdc_0807,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
42,fpc_0042,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0141,nframe,nframe_03412,data/images/nframe_03412.npy,3412,nframe_03413,data/images/nframe_03413.npy,3413,1,no,cdc_0803,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
43,fpc_0043,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0142,nframe,nframe_03421,data/images/nframe_03421.npy,3421,nframe_03420,data/images/nframe_03420.npy,3420,1,no,cdc_0803,NA,no,NA,tvcc_0024,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
44,fpc_0044,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0143,nframe,nframe_03486,data/images/nframe_03486.npy,3486,nframe_03487,data/images/nframe_03487.npy,3487,1,no,cdc_0812,cdc_0797,no,NA,NA,tvcc_0025,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
45,fpc_0045,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0144,nframe,nframe_03490,data/images/nframe_03490.npy,3490,nframe_03489,data/images/nframe_03489.npy,3489,1,no,cdc_0813,cdc_0797,no,NA,NA,tvcc_0027,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
46,fpc_0046,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0145,nframe,nframe_04426,data/images/nframe_04426.npy,4426,nframe_04425,data/images/nframe_04425.npy,4425,1,no,cdc_0854,NA,no,NA,tvcc_0028,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
47,fpc_0047,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0146,nframe,nframe_04760,data/images/nframe_04760.npy,4760,nframe_04761,data/images/nframe_04761.npy,4761,1,no,NA,cdc_0509,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
48,fpc_0048,11,12,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0147,nframe,nframe_04764,data/images/nframe_04764.npy,4764,nframe_04763,data/images/nframe_04763.npy,4763,1,no,cdc_0946,cdc_0509,no,NA,tvcc_0029,tvcc_0013,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
49,fpc_0049,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0148,nframe,nframe_05545,data/images/nframe_05545.npy,5545,nframe_05544,data/images/nframe_05544.npy,5544,1,no,cdc_0946,cdc_1038,no,NA,tvcc_0029,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
50,fpc_0050,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0149,nframe,nframe_05549,data/images/nframe_05549.npy,5549,nframe_05548,data/images/nframe_05548.npy,5548,1,no,cdc_1039,NA,no,NA,tvcc_0030,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
51,fpc_0051,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0150,nframe,nframe_06578,data/images/nframe_06578.npy,6578,nframe_06577,data/images/nframe_06577.npy,6577,1,no,cdc_0514,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
52,fpc_0052,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0151,nframe,nframe_06579,data/images/nframe_06579.npy,6579,nframe_06580,data/images/nframe_06580.npy,6580,1,no,cdc_0514,NA,no,NA,tvcc_0016,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
53,fpc_0053,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0152,nframe,nframe_06670,data/images/nframe_06670.npy,6670,nframe_06669,data/images/nframe_06669.npy,6669,1,no,cdc_1087,cdc_1086,no,NA,tvcc_0033,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
54,fpc_0054,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0153,nframe,nframe_06671,data/images/nframe_06671.npy,6671,nframe_06672,data/images/nframe_06672.npy,6672,1,no,cdc_1087,NA,no,NA,tvcc_0033,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
55,fpc_0055,14,15,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0154,nframe,nframe_06809,data/images/nframe_06809.npy,6809,nframe_06810,data/images/nframe_06810.npy,6810,1,no,NA,cdc_1097,no,NA,NA,tvcc_0034,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
56,fpc_0056,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0155,nframe,nframe_07009,data/images/nframe_07009.npy,7009,nframe_07008,data/images/nframe_07008.npy,7008,1,no,cdc_1061,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
57,fpc_0057,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0156,nframe,nframe_07010,data/images/nframe_07010.npy,7010,nframe_07011,data/images/nframe_07011.npy,7011,1,no,cdc_1061,NA,no,NA,tvcc_0032,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
58,fpc_0058,12,13,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0157,nframe,nframe_07355,data/images/nframe_07355.npy,7355,nframe_07356,data/images/nframe_07356.npy,7356,1,no,cdc_1039,cdc_0708,no,NA,tvcc_0030,tvcc_0020,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
59,fpc_0059,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0158,nframe,nframe_07358,data/images/nframe_07358.npy,7358,nframe_07357,data/images/nframe_07357.npy,7357,1,no,cdc_1144,cdc_0708,no,NA,NA,tvcc_0020,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
60,fpc_0060,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0159,nframe,nframe_07789,data/images/nframe_07789.npy,7789,nframe_07790,data/images/nframe_07790.npy,7790,1,no,cdc_1193,NA,no,NA,tvcc_0038,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
61,fpc_0061,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0160,nframe,nframe_07796,data/images/nframe_07796.npy,7796,nframe_07795,data/images/nframe_07795.npy,7795,1,no,cdc_1187,NA,no,NA,tvcc_0036,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
62,fpc_0062,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0161,nframe,nframe_07834,data/images/nframe_07834.npy,7834,nframe_07833,data/images/nframe_07833.npy,7833,1,no,cdc_1198,NA,no,NA,tvcc_0039,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
63,fpc_0063,8,9,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0162,nframe,nframe_07836,data/images/nframe_07836.npy,7836,nframe_07837,data/images/nframe_07837.npy,7837,1,no,cdc_1199,NA,no,NA,tvcc_0040,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
64,fpc_0064,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0164,nframe,nframe_07912,data/images/nframe_07912.npy,7912,nframe_07911,data/images/nframe_07911.npy,7911,1,no,cdc_1198,NA,no,NA,tvcc_0039,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
65,fpc_0065,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0165,nframe,nframe_07913,data/images/nframe_07913.npy,7913,nframe_07914,data/images/nframe_07914.npy,7914,1,no,cdc_1198,cdc_1206,no,NA,tvcc_0039,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
66,fpc_0066,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0166,nframe,nframe_09361,data/images/nframe_09361.npy,9361,nframe_09360,data/images/nframe_09360.npy,9360,1,no,cdc_1388,cdc_1387,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
67,fpc_0067,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0167,nframe,nframe_09363,data/images/nframe_09363.npy,9363,nframe_09364,data/images/nframe_09364.npy,9364,1,no,cdc_1388,cdc_1389,no,NA,tvcc_0041,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
68,fpc_0068,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0168,nframe,nframe_09433,data/images/nframe_09433.npy,9433,nframe_09432,data/images/nframe_09432.npy,9432,1,no,cdc_1143,NA,no,NA,tvcc_0035,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
69,fpc_0069,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0169,nframe,nframe_09434,data/images/nframe_09434.npy,9434,nframe_09435,data/images/nframe_09435.npy,9435,1,no,cdc_1039,NA,no,NA,tvcc_0030,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
70,fpc_0070,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0170,nframe,nframe_09895,data/images/nframe_09895.npy,9895,nframe_09894,data/images/nframe_09894.npy,9894,1,no,cdc_1056,NA,no,NA,tvcc_0031,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
