Category,Rank,Image Index,Image Path,GT Count,Panel Path,Prediction Summary,Rationale
R4 failure/hard case,1,1108,D:\download\triair\data\images\nframe_01448.npy,13,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_11_nframe_01448.png,r0_full: TP=10 FP=1 FN=3 Pred=11; r4_full: TP=9 FP=0 FN=4 Pred=9,R4 retains at least one false positive or unmatched GT box; this is an illustrative hard case.
R4 failure/hard case,2,1071,D:\download\triair\data\images\nframe_01410.npy,11,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_12_nframe_01410.png,r0_full: TP=8 FP=1 FN=3 Pred=9; r4_full: TP=8 FP=1 FN=3 Pred=9,R4 retains at least one false positive or unmatched GT box; this is an illustrative hard case.
R4 failure/hard case,3,1125,D:\download\triair\data\images\nframe_01466.npy,14,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_13_nframe_01466.png,r0_full: TP=10 FP=2 FN=4 Pred=12; r4_full: TP=11 FP=0 FN=3 Pred=11,R4 retains at least one false positive or unmatched GT box; this is an illustrative hard case.
R4 failure/hard case,4,1107,D:\download\triair\data\images\nframe_01447.npy,13,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_14_nframe_01447.png,r0_full: TP=10 FP=0 FN=3 Pred=10; r4_full: TP=10 FP=0 FN=3 Pred=10,R4 retains at least one false positive or unmatched GT box; this is an illustrative hard case.
R4 failure/hard case,5,1109,D:\download\triair\data\images\nframe_01449.npy,13,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_15_nframe_01449.png,r0_full: TP=10 FP=1 FN=3 Pred=11; r4_full: TP=10 FP=0 FN=3 Pred=10,R4 retains at least one false positive or unmatched GT box; this is an illustrative hard case.
R4 missing-modality illustrative case,1,263,D:\download\triair\data\images\frame_00967.npy,5,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_16_frame_00967.png,r4_full: TP=5 FP=1 FN=0 Pred=6; r4_no_rgb: TP=0 FP=1 FN=5 Pred=1,Illustrates R4 behavior under synthetic no rgb input removal.
R4 missing-modality illustrative case,2,867,D:\download\triair\data\images\frame_04067.npy,4,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_17_frame_04067.png,r4_full: TP=4 FP=0 FN=0 Pred=4; r4_no_rgb: TP=0 FP=5 FN=4 Pred=5,Illustrates R4 behavior under synthetic no rgb input removal.
R4 missing-modality illustrative case,3,1116,D:\download\triair\data\images\nframe_01456.npy,14,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_18_nframe_01456.png,r4_full: TP=13 FP=0 FN=1 Pred=13; r4_no_thermal: TP=7 FP=1 FN=7 Pred=8,Illustrates R4 behavior under synthetic no thermal input removal.
R4 missing-modality illustrative case,4,1957,D:\download\triair\data\images\nframe_07517.npy,5,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_19_nframe_07517.png,r4_full: TP=5 FP=0 FN=0 Pred=5; r4_no_thermal: TP=0 FP=4 FN=5 Pred=4,Illustrates R4 behavior under synthetic no thermal input removal.
R4 missing-modality illustrative case,5,3,D:\download\triair\data\images\frame_00195.npy,3,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_20_frame_00195.png,r4_full: TP=3 FP=0 FN=0 Pred=3; r4_no_event: TP=2 FP=0 FN=1 Pred=2,Illustrates R4 behavior under synthetic no event input removal.
